Unnamed: 0,Entity Name,ID Number,NAICS,Inactive status,Address,status,entity_name,Exact Names,Entity Types,Identification Numbers,Date of Incorporations,Effective Dates,Location of Principal Offices,Agent Resigned,Address Maintained,Name and Address of Registered Agents,"Officers, Directors, and Corporations",Name and Business Address of General Partners,LLC Managers,Stocks,Purposes,NIACS,Business Entities
10,Inception Global LLC,1774032, , ,"49 HOLLOW TREE DR CRANSTON, RI  02920  US",active,INC,Inception Global LLC,Domestic Limited Liability Company,001774032,06-09-2024,06-11-2024,"49 HOLLOW TREE DR ,CRANSTON, RI 02920 US",N,Y," JACE FLOODY,49 HOLLOW TREE DR ,CRANSTON, RI 02920 USA",None,"MANAGERCAMERON ALFRED OLIVELLI 79 LONGWOOD AVE WARWICK, RI 02888 USMANAGERJACE EUGENE FLOODY 49 HOLLOW TREE DR CRANSTON, RI 02920 US","The limited liability company is to be managed by its ManagersThe name and business address of each Manager:MANAGERCAMERON ALFRED OLIVELLI 79 LONGWOOD AVE WARWICK, RI 02888 USMANAGERJACE EUGENE FLOODY 49 HOLLOW TREE DR CRANSTON, RI 02920 US",None, ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
11,InCharge Debt Solutions,142351,624190, ,"5750 MAJOR BLVD SUITE 300ORLANDO, FL  32819  USA",active,INC,InCharge Debt Solutions,Foreign Non-Profit Corporation,000142351,08-27-2004,08-27-2004,"5750 MAJOR BLVD SUITE 300,ORLANDO, FL 32819 USA",N,Y," CORPORATION SERVICE COMPANY,222 JEFFERSON BOULEVARD, SUITE 200 ,WARWICK, RI 02888 USA","PRESIDENTLORETTA RONEY 5750 MAJOR BLVD STE 300 ORLANDO, FL 32819 USASECRETARYMICHAEL LEON 5750 MAJOR BLVD STE 300 ORLANDO, FL 32819 USASECRETARYSEIJI SHIRAISHI 5750 MAJOR BLVD STE 300 ORLANDO, FL 32819 USATRUSTEE JEFFREY TASSEY 1129 20TH ST NW STE 300 WASHINGTON, DC 20036 USATRUSTEE PATRICIA WEXLER 277 PARK AVE FL 14 NEW YORK, NY 10017 USATRUSTEE ROBERT J. RUIZ ESQ. 100 WEST RANDOLPH ST SUITE 8-200 CHICAGO, IL 60601 USATRUSTEE CAREY TARBELL 1615 L STREET NW STE 1110 WASHINGTON, DC 20036 USATRUSTEE KRISTEN SOLES 8000 TOWERS CRESCENT DR STE 1000 TYSONS CORNER, VA 22182 USATRUSTEE SUSANNA B KONDRACKI 5750 MAJOR BLVD STE 300 ORLANDO, FL 32819 USATRUSTEE MONIKA WILCZAK 5750 MAJOR BLVD STE 300 ORLANDO, FL 32819 USA",None,None,None, TO PROVIDE FINANCIAL ASSISTANCE AND EDUCATION TO THE COMMUNITY AND INDIVIDUALS TITLE: 7-6 ,624190 Other Individual and Family Services ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application for Transfer of Authority,Articles of Consolidation,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
12,"INCHARGE ENERGY, INC.",1722580,541690, ,"305 GREGSON DRIVE CARY, NC  27511  USA",active,INC,"INCHARGE ENERGY, INC.",Foreign Corporation,001722580,04-20-2021,04-20-2021,"305 GREGSON DRIVE ,CARY, NC 27511 USA",N,Y," CT CORPORATION SYSTEM,450 VETERANS MEMORIAL PARKWAY, SUITE 7A ,EAST PROVIDENCE, RI 02914 USA","PRESIDENTCAMERON K FUNK 1421 - 1423 5TH STREET, SUITE 360 SANTA MONICA, CA 90401 USASECRETARYBRIDGET SMITH 305 GREGSON DRIVE CARY, NC 27511 USACFOGUIDO MUSSEHL 305 GREGSON DRIVE CARY, NC 27511 USAVICE PRESIDENTMICHAEL GRAY 305 GREGSON DRIVE CARY, NC 27511 USADIRECTORALEXIS OWTSCHAROV 950 WEST ELLIOT ROAD SUITE 101 TEMPE, AZ 85284 USADIRECTORBRIDGET SMITH 305 GREGSON DRIVE CARY, NC 27511 USADIRECTORROBERT STOJANOVIC 2018 POWERS FERRY RD SE SUITE 600 ATLANTA, GA 30339 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWPÂ $ 0.00102,0001,535", EV CHARGING STATION RETAIL INSTALLATION SERVICE & REPAIRS ENERGY CONSULTING ,541690 Other Scientific and Technical Consulting Services,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
13,inchstones,160122,541490, ,"10 WICKS STREET NORTH SMITHFIELD, RI  02896  USA",active,INC,"MONKEY-SAYS, LLC",Domestic Limited Liability Company,000160122,12-01-2006,01-01-2007,"10 WICKS STREET ,NORTH SMITHFIELD, RI 02896 USA",N,Y," SUSAN RING,10 WICKS STREET ,NORTH SMITHFIELD, RI 02896 USA",None,"MANAGERSUSAN RING 10 WICKS STREET NORTH SMITHFIELD, RI 02896 USA","The limited liability company is to be managed by its ManagersThe name and business address of each Manager:MANAGERSUSAN RING 10 WICKS STREET NORTH SMITHFIELD, RI 02896 USA",None, CREATIVE SERVICES COMPANY TITLE: 7-16 ,541490 Other Specialized Design Services,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
14,"IncidentClear, LLC",1761568, ,Revocation Notice,"11 HALL STREET MEDFORD, MA  02155  USA",active,INC,"IncidentClear, LLC",Foreign Limited Liability Company,001761568,08-11-2023,08-11-2023,"11 HALL STREET ,MEDFORD, MA 02155 USA",N,Y," REGISTERED AGENTS INC,47 WOOD AVE, SUITE 2 ,BARRINGTON, RI 02806 USA",None, , ,None, TRANSPORTATION SUPPORT SERVICES. TITLE: 7-1.2,None,"ALL FILINGS,Amendment to Application for Registration,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Registration,Application for Transfer of Authority,Articles of Merger,Certificate of Cancellation,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
15,IncisionTech,66061,339112, ,"2080 PLAINFIELD PIKE CRANSTON, RI  02921  USA",active,INC,"Cadence Science, Inc.",Domestic Profit Corporation,000066061,11-05-1991,11-05-1991,"2080 PLAINFIELD PIKE ,CRANSTON, RI 02921 USA",N,Y," CORPORATION SERVICE COMPANY,222 JEFFERSON BOULEVARD SUITE 200,WARWICK, RI 02888 USA","PRESIDENTROBERT WERGE 9 TECHNOLOGY DRIVE STAUNTON, VA 24401 USASECRETARYKENNETH S CLEVELAND III9 TECHNOLOGY DRIVE STAUNTON, VA 24401 USAVICE PRESIDENTCHRISTOPHER W ANDERSON 111 RADIO CIRCLE MOUNT KISCO, NY 10549 USAVICE PRESIDENTSHANT MARDIROSSIAN 111 RADIO CIRCLE MOUNT KISCO, NY 10549 USAVICE PRESIDENTCHRISTOPHER MCKINNEY 111 RADIO CIRCLE MOUNT KISCO, NY 10549 USA",None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNPÂ $ 0.0000100100, MANUFACTURING OF SPECIALTY MEDICAL PRODUCTS TITLE: 7-1.1-51,339112 Surgical and Medical Instrument Manufacturing ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
16,"INCITE Advocacy Network, Inc.",1720059,813319, ,"125 IROQUOIS RD NARRAGANSETT, RI  02882  USA",active,INC,"INCITE Advocacy Network, Inc.",Domestic Non-Profit Corporation,001720059,03-02-2021,03-02-2021,"125 IROQUOIS RD ,NARRAGANSETT, RI 02882 USA",N,Y," KARA S. GUERRIERO,125 IROQUOIS RD ,NARRAGANSETT, RI 02882 USA","DIRECTORKARA GUERRIERO 3516 WARP ST CHARLOTTE, NC 28205 USADIRECTORERIN BLACK 4342 W FARM RD 60 WILLARD, MO 65781 USADIRECTORKIMBERLY OLSON 125 IROQUIOS RD NARRAGANSETT, RI 02882 USA",None,None,None," SAID ORGANIZATION IS ORGANIZED EXCLUSIVELY FOR CHARITABLE, RELIGIOUS, EDUCATIONAL, AND SCIENTIFIC PURPOSES, INCLUDING, FOR SUCH PURPOSES, THE MAKING OF DISTRIBUTIONS TO ORGANIZATIONS THAT QUALIFY AS EXEMPT ORGANIZATIONS UNDER THE SECTION 501 (C) (3) OF THE INTERNAL REVENUE CODE, OR CORRESPONDING SECTION OF ANY FUTURE FEDERAL TAX CODE. THE BUSINESS ACTIVITY FOR SAID ORGANIZATION IS AS FOLLOWS: TO PROVIDE ADVOCACY SERVICES TO PEOPLE WITH BEHAVIORAL HEALTH CONDITIONS. TO INFORM FAMILY, FRIENDS, SUPPORTS, AND PHYSICIANS HOW THEY CAN PROVIDE BETTER WHOLE-PERSON CARE. ",813319 Other Social Advocacy Organizations ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
17,inciteful tech service lp,525840, ,Revocation Notice,"53 PETER STREET PROVIDENCE, RI  02904  USA",active,INC,inciteful tech service lp,Domestic Limited Partnership,000525840,01-24-2010,01-24-2010,"The location of its specified office:53 PETER STREET ,PROVIDENCE, RI 02904 USA",N,Y," CHRISTOPHER PEREZ,53 PETER STREET ,PROVIDENCE, RI 02904 USA",None,None,None,None, ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Articles of Merger,Certificate of Amendment to Certificate of Limited Partnership,Certificate of Cancellation,Certificate of Conversion,Certificate of Limited Liability Limited Partnership,Certificate of Limited Partnership,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reservation of Entity Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
18,"InClime, Inc.",1729590,541620, ,"326 FIRST STREET SUITE 27ANNAPOLIS, MD  21403  USA",active,INC,"InClime, Inc.",Foreign Corporation,001729590,09-16-2021,09-16-2021,"326 FIRST STREET SUITE 27,ANNAPOLIS, MD 21403 USA",N,Y," INCORP SERVICES, INC.,222 JEFFERSON BOULEVARD, SUITE 200 ,WARWICK, RI 02888 USA","PRESIDENTKEVIN QUILLIAM 326 FIRST STREET, SUITE 27 ANNAPOLIS, MD 21403 USADIRECTORLISA WADSWORTH 326 FIRST ST, SUITE 27 ANNAPOLIS, MD 21403 USA",None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWPÂ $ 0.0100100100, ENVIRONMENTAL CONSULTING ,541620 Environmental Consulting Services,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
19,"INCLINED PRODUCTIONS, INC.",1760611,515111, ,"500 SOUTH BUENA VISTA STREET BURBANK, CA  91521  USA",active,INC,"INCLINED PRODUCTIONS, INC.",Foreign Corporation,001760611,07-21-2023,07-21-2023,"500 SOUTH BUENA VISTA STREET ,BURBANK, CA 91521 USA",N,Y," CORPORATION SERVICE COMPANY,222 JEFFERSON BOULEVARD, SUITE 200 ,WARWICK, RI 02888 USA","PRESIDENTJAMES M KAPENSTEIN 3400 WEST OLIVE AVENUE BURBANK, CA 91505 USATREASURERCARLOS A GOMEZ 500 S BUENA VISTA ST BURBANK, CA 91521 USASECRETARYCHAKIRA H GAVAZZI 500 S BUENA VISTA ST BURBANK, CA 91521 USADIRECTORJAMES M KAPENSTEIN 3400 WEST OLIVE AVENUE BURBANK, CA 91505 USADIRECTORCHAKIRA H GAVAZZI 500 S BUENA VISTA ST BURBANK, CA 91521 USADIRECTORCARLOS A GOMEZ 500 S BUENA VISTA ST BURBANK, CA 91521 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWPÂ $ 0.010010,0001,000", TELEVISION PRODUCTIONS ,515111 Radio Networks ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
20,Inclusive Wellness Psychology LLC,1724283,621330, ,"154 WATERMAN STREET SUITE 7PROVIDENCE, RI  02906  USA",active,INC,Inclusive Wellness Psychology LLC,Domestic Limited Liability Company,001724283,05-19-2021,05-19-2021,"154 WATERMAN STREET SUITE 7,PROVIDENCE, RI 02906 USA",N,Y," ERIN RABIDEAU,60 S ATLANTIC AVE ,WARWICK, RI 02888 USA",None, , ,None, OUTPATIENT PSYCHOTHERAPY SESSIONS WITH A LICENSED PSYCHOLOGIST. ,621330 Offices of Mental Health Practitioners (except Physicians) ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
21,"InComm Agent Solutions, Inc.",306834,517911, ,"250 WILLIAMS STREET NW SUITE 5-2002ATLANTA, GA  30303  USA",active,INC,"InComm Agent Solutions, Inc.",Foreign Corporation,000306834,02-04-2008,02-04-2008,"250 WILLIAMS STREET NW SUITE 5-2002,ATLANTA, GA 30303 USA",N,Y," CORPORATION SERVICE COMPANY,222 JEFFERSON BOULEVARD, SUITE 200 ,WARWICK, RI 02888 USA","SECRETARYSTEPHANIE GRANATO SUITE 5-2002 250 WILLIAMS ST NW, 5TH FLOOR ATLANTA, GA 30303 USASECRETARYMICHAEL D. GRUENHUT SUITE 5-2002 250 WILLIAMS ST NW, 5TH FLOOR ATLANTA, GA 30303 USACFOLAWRENCE BELMONTE SUITE 5-2002 250 WILLIAMS STREET NW ATLANTA, GA 30303 USACEO,DIRECTOR,PRESIDENTM. BROOKS SMITH SUITE 5-2002 250 WILLIAMS ST NW, 5TH FLOOR ATLANTA, GA 30303 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWPÂ $ 0.000125,000,000100", BILL PAYMENT AND RELATED TRANSACTION PROCESSING SERVICES. ,517911 Telecommunications Resellers ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
22,"InComm Financial Services, Inc.",143095,525990, ,"2525 WILLIAMS ROAD COLUMBUS, GA  31909  USA",active,INC,"InComm Financial Services, Inc.",Foreign Corporation,000143095,09-24-2004,09-24-2004,"2525 WILLIAMS ROAD ,COLUMBUS, GA 31909 USA",N,Y," CORPORATION SERVICE COMPANY,222 JEFFERSON BOULEVARD, SUITE 200 ,WARWICK, RI 02888 USA","TREASURERJACK MALONEY 2525 WILLIAMS ROAD COLUMBUS, GA 31909 USACFOJOHN F. MALONEY 2525 WILLIAMS ROAD COLUMBUS, GA 31909 USADIRECTOR,PRESIDENTM. BROOKS SMITH SUITE 5-2002 250 WILLIAMS ST NW, 5TH FLOOR ATLANTA, GA 30303 USAAUTHORIZED PERSON,SECRETARYMICHAEL D. GRUENHUT SUITE 5-2002 250 WILLIAMS ST NW, 5TH FLOOR ATLANTA, GA 30303 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesPWP $ 0.010010010CWP $ 0.01001,000100", MONEY TRANSMITTER LICENSES TITLE: 7-1.1 ,525990 Other Financial Vehicles ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
23,Incomnet,157616,517311, ,"3340 W MARKET ST AKRON, OH  44333  USA",active,INC,"FIRST COMMUNICATIONS, LLC",Foreign Limited Liability Company,000157616,07-21-2006,07-21-2006,"3340 W MARKET ST ,AKRON, OH 44333 USA",N,Y," COGENCY GLOBAL INC.,222 JEFFERSON BOULEVARD ,WARWICK, RI 02888 USA",None,"MANAGERSANDI MURPHY 3340 WEST MARKET STREET AKRON, OH 44333 USAMANAGERMARK SOLLENBERGER 3340 WEST MARKET STREET AKRON, OH 44333 USA","The limited liability company is to be managed by its ManagersThe name and business address of each Manager:MANAGERSANDI MURPHY 3340 WEST MARKET STREET AKRON, OH 44333 USAMANAGERMARK SOLLENBERGER 3340 WEST MARKET STREET AKRON, OH 44333 USA",None, TELECOMMUNICATIONS SERVICE TITLE: 7-16 ,517311 Wired Telecommunications Carriers ,"ALL FILINGS,Amendment to Application for Registration,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Registration,Application for Transfer of Authority,Articles of Merger,Certificate of Cancellation,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
24,"InContact, Inc.",131604,517311, ,"75 W TOWNE RIDGE PARKWAY TOWER 1 SANDY, UT  84070  USA",active,INC,"InContact, Inc.",Foreign Corporation,000131604,04-28-2003,04-28-2003,"75 W TOWNE RIDGE PARKWAY TOWER 1 ,SANDY, UT 84070 USA",N,Y," CORPORATION SERVICE COMPANY,222 JEFFERSON BOULEVARD SUITE 200,WARWICK, RI 02888 USA","PRESIDENTBARRY COOPER 75 W TOWNE RIDGE PARKWAY, TOWER 1 SANDY, UT 84070 USATREASURERBRIAN BITTEN 75 W TOWNE RIDGE PARKWAY, TOWER 1 SANDY, UT 84070 USASECRETARYJEFFREY LEVENBERG 75 W TOWNE RIDGE PARKWAY, TOWER 1 SANDY, UT 84070 USADIRECTORBARAK EILAM 75 W TOWNE RIDGE PARKWAY, TOWER 1 SANDY, UT 84070 USADIRECTORBETH GASPICH 75 W TOWNE RIDGE PARKWAY, TOWER 1 SANDY, UT 84070 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWP $ 0.0001100,000,0001,000PWP $ 0.000115,000,0000", TELECOMMUNICATIONS SERVICES TITLE: 7-1.1 ,517311 Wired Telecommunications Carriers ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
25,"inControl, Inc.",111162,238210, ,"22 DEWEY AVE. SUITE 4WARWICK, RI  02886  USA",active,INC,"inControl, Inc.",Domestic Profit Corporation,000111162,03-02-2000,03-02-2000,"22 DEWEY AVE. SUITE 4,WARWICK, RI 02886 USA",N,Y," STEVEN E BEVERIDGE,22 DEWEY AVENUE, SUITE 4 ,WARWICK, RI 02886 USA","VICE PRESIDENTROBERT J SPINELLA 22 DEWEY AVE, SUITE 4 WARWICK, RI 02886 USAPRESIDENTSTEVEN E BEVERIDGE 22 DEWEY AVENUE, SUITE 4 WARWICK, RI 02886- USAOTHER OFFICERSTEVEN E. BEVERIDGE 22 DEWEY AVE. WARWICK, RI 02886 UNI",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNPÂ $ 0.00008,0004,000"," TO ENGAGE IN THE DESIGN, SALES, INSTALLATION AND SERVICE OF BUILDING AUTOMATION AND ACCESS CONTROL SYSTEMS. TITLE: 7-1.1-51 ",238210 Electrical Contractors and Other Wiring Installation Contractors,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
